timestamp,Circulating Supply
2022-05-01,16237999.79414358
2022-05-02,16094767.812548268
2022-05-03,16211668.447691969
2022-05-04,16308874.498550302
2022-05-05,16416399.675585623
2022-05-06,16483175.725051312
2022-05-07,16522199.754382909
2022-05-08,16668956.669085724
2022-05-09,17029044.257424837
2022-05-10,17113715.944768695
2022-05-11,17106304.179594228
2022-05-12,17067236.554295252
2022-05-13,17117203.263006796
2022-05-14,17154482.039812044
2022-05-15,17205611.603348614
2022-05-16,17256552.343886391
2022-05-17,17292476.253914556
2022-05-18,17345058.491007428
2022-05-19,17385973.51732843
2022-05-20,17421373.877654637
2022-05-21,17480667.586531167
2022-05-22,17530576.239605006
2022-05-23,17594181.159029856
2022-05-24,17641773.245960445
2022-05-25,17775571.415493849
2022-05-26,17833596.576160215
2022-05-27,17896839.02775378
2022-05-28,17955334.785787237
2022-05-29,18023603.541363297
2022-05-30,18090593.980040074
2022-05-31,18147266.142333441
2022-06-01,18206927.568017971
2022-06-02,18270355.130586838
2022-06-03,18332858.617490133
2022-06-04,18387509.267101906
2022-06-05,18450072.340136874
2022-06-06,18512637.264107714
2022-06-07,18559904.080532867
2022-06-08,18619503.286486969
2022-06-09,18684252.087837266
2022-06-10,18747346.403842553
2022-06-11,18794188.514227453
2022-06-12,18818419.3705141
2022-06-13,18803805.010458379
2022-06-14,18773670.431629093
2022-06-15,18791910.725044643
2022-06-16,18824651.208735675
2022-06-17,18863282.883502343
2022-06-18,18877651.123677662
2022-06-19,18896885.792982912
2022-06-20,18942386.080327201
2022-06-21,18997862.927259695
2022-06-22,19029048.574786395
2022-06-23,19303099.134700793
2022-06-24,19361971.31948701
2022-06-25,19420364.508641131
2022-06-26,19480877.608361952
2022-06-27,19539012.358327607
2022-06-28,19586923.27712434
2022-06-29,19631658.837217619
2022-06-30,19675338.728380022
2022-07-01,19732704.286167639
2022-07-02,19798663.834567978
2022-07-03,19860086.872920345
2022-07-04,19923400.691677179
2022-07-05,19985670.35663712
2022-07-06,20047900.795494733
2022-07-07,20114389.606703147
2022-07-08,20191432.974610561
2022-07-09,20269088.585832574
2022-07-10,20344640.211361591
2022-07-11,20542856.82663709
2022-07-12,20576404.843787182
2022-07-13,20627298.360724177
2022-07-14,20678235.808732372
2022-07-15,20716485.968745462
2022-07-16,20767042.093276511
2022-07-17,20805929.065316751
2022-07-18,20834306.299847084
2022-07-19,20876692.097989597
2022-07-20,20911010.073956068
2022-07-21,20932379.297685283
2022-07-22,20970541.491478759
2022-07-23,21011085.235634414
2022-07-24,21049454.921496439
2022-07-25,21109273.95389785
2022-07-26,21149365.32653296
2022-07-27,21204551.098591253
2022-07-28,21253286.142852935
2022-07-29,21311494.087445199
2022-07-30,21367275.789312149
2022-07-31,21424939.032425815
2022-08-01,21477085.138281018
2022-08-02,21531981.63058342
2022-08-03,21585434.073030625
2022-08-04,21783885.72458884
2022-08-05,21842890.390518384
2022-08-06,21899971.202967861
2022-08-07,21956301.058900734
2022-08-08,22010799.949383824
2022-08-09,22067938.793077442
2022-08-10,22128999.208437457
2022-08-11,22184444.223084714
2022-08-12,22326821.681939551
2022-08-13,22378859.28567798
2022-08-14,22429852.952725071
2022-08-15,22484592.547026415
2022-08-16,22525917.334148337
2022-08-17,22559040.740663121
2022-08-18,22752090.263674969
2022-08-19,22792364.590122114
2022-08-20,22830749.137749002
2022-08-21,22876326.178462483
2022-08-22,22917969.737997139
2022-08-23,22994997.712483119
2022-08-24,23044101.298063773
2022-08-25,23097620.146613936
2022-08-26,23317471.748090756
2022-08-27,23376177.538607468
2022-08-28,23439621.223733128
2022-08-29,23503116.654862969
2022-08-30,23681392.948351482
2022-08-31,23764990.525899277
2022-09-01,23820948.241382252
2022-09-02,23878689.427566002
2022-09-03,23940535.853796025
2022-09-04,23999118.835608281
2022-09-05,24063237.210560956
2022-09-06,24122307.482155848
2022-09-07,24181862.914755832
2022-09-08,24241190.037622815
2022-09-09,24299593.681637441
2022-09-10,24486984.742581702
2022-09-11,24550485.192731232
2022-09-12,24608805.054409739
2022-09-13,24658791.264092046
2022-09-14,24713446.791401025
2022-09-15,24743389.393555962
2022-09-16,24762282.755660469
2022-09-17,24791752.855727668
2022-09-18,24810450.063210957
2022-09-19,24815483.774553352
2022-09-20,24834557.410833178
2022-09-21,24823602.168678935
2022-09-22,24832211.150458328
2022-09-23,24829952.462655763
2022-09-24,24865831.796828334
2022-09-25,24858905.566856124
2022-09-26,24886819.780257601
2022-09-27,25014546.43067134
2022-09-28,25039384.518664651
2022-09-29,25038733.757733046
2022-09-30,25067469.484036411
2022-10-01,25098287.144096488
2022-10-02,25126399.182764405
2022-10-03,25187818.731095669
2022-10-04,25201507.151212729
2022-10-05,25237266.876310022
2022-10-06,25226514.080934455
2022-10-07,25209130.39509283
2022-10-08,25206060.110006053
2022-10-09,25190801.410869305
2022-10-10,25160278.584944505
2022-10-11,25128325.89111833
2022-10-12,25099224.572029749
2022-10-13,25067413.598762657
2022-10-14,25045799.043566482
2022-10-15,25034933.444096809
2022-10-16,25023035.927380846
2022-10-17,25009095.243629362
2022-10-18,25044916.7749637
2022-10-19,25031023.171101527
2022-10-20,25112927.146103159
2022-10-21,25073193.020666932
2022-10-22,25061199.486817313
2022-10-23,25055274.889138691
2022-10-24,25045368.6321704
2022-10-25,25031468.487907392
2022-10-26,25028116.372504411
2022-10-27,25019146.513601861
2022-10-28,24996520.616598445
2022-10-29,24987977.916850869
2022-10-30,24978848.159604939
2022-10-31,24962644.279231457
2022-11-01,24947655.591188521
2022-11-02,24972153.805817534
2022-11-03,24957698.489197944
2022-11-04,24941269.91417378
2022-11-05,24914702.956703939
2022-11-06,24887633.146219554
2022-11-07,24898314.404846912
2022-11-08,24853890.164091319
2022-11-09,24801797.907590702
2022-11-10,24786347.663557875
2022-11-11,24722724.130080225
2022-11-12,24647402.982786365
2022-11-13,24541001.668837677
2022-11-14,24441623.261107059
2022-11-15,24368307.901615953
2022-11-16,24283878.419890043
2022-11-17,24134878.784990266
2022-11-18,24116826.462889056
2022-11-19,24120741.76444977
2022-11-20,24082566.952432195
2022-11-21,24075426.712898184
2022-11-22,24079101.052650041
2022-11-23,24085575.01184242
2022-11-24,24089485.008092743
2022-11-25,24092539.449741283
2022-11-26,24096437.697216563
2022-11-27,24100066.676778943
2022-11-28,24103960.969733612
2022-11-29,24107864.073588939
2022-11-30,24111770.396483082
2022-12-01,24115609.053454578
2022-12-02,24210016.124037533
2022-12-03,24213937.641571697
2022-12-04,24217889.295088379
2022-12-05,24221825.940588426
2022-12-06,24225774.633517707
2022-12-07,24229737.316048228
2022-12-08,24233673.244611957
2022-12-09,24215607.385642766
2022-12-10,24042691.093962726
2022-12-11,23872140.003416298
2022-12-12,23678166.794750573
2022-12-13,23632210.712892643
2022-12-14,23581892.113015167
2022-12-15,23527107.425799293
2022-12-16,23403969.306134963
2022-12-17,23332285.239675532
2022-12-18,23282606.557917645
2022-12-19,23266455.565604553
2022-12-20,23247283.990619583
2022-12-21,23265480.016826583
2022-12-22,23227007.165669914
2022-12-23,23258574.75765346
2022-12-24,23262092.16296113
2022-12-25,23260579.935676132
2022-12-26,23260108.726907973
2022-12-27,23230343.788007452
2022-12-28,23171559.472530322
2022-12-29,23075545.71576093
2022-12-30,22966820.338400329
2022-12-31,22929882.936478706
2023-01-01,22819723.563897811
2023-01-02,22823267.942717933
2023-01-03,22826916.647839371
2023-01-04,22830248.181537931
2023-01-05,22820870.343054324
2023-01-06,22783397.297383468
2023-01-07,22755953.476280872
2023-01-08,22752402.033928287
2023-01-09,22755982.277461332
2023-01-10,22757076.099996556
2023-01-11,22760688.6486302
2023-01-12,22764293.272233099
2023-01-13,22760635.913905156
2023-01-14,22761059.561619672
2023-01-15,22764242.05673007
2023-01-16,22766639.669420241
2023-01-17,22716147.419851835
2023-01-18,22676862.889763479
2023-01-19,22578878.34544766
2023-01-20,22581262.583194313
2023-01-21,22584666.971633958
2023-01-22,22588174.684530824
2023-01-23,22591715.934052866
2023-01-24,22516487.489419394
2023-01-25,22459236.772700523
2023-01-26,22461334.571154115
2023-01-27,22449281.64023382
2023-01-28,22450202.152702052
2023-01-29,22436442.431453311
2023-01-30,22427301.11274477
2023-01-31,22368078.348442606
2023-02-01,22332459.939708047
2023-02-02,22324383.843490872
2023-02-03,22306105.993154538
2023-02-04,22309582.703543483
2023-02-05,22303507.272735113
2023-02-06,22265568.191385523
2023-02-07,22250346.660383925
2023-02-08,22194248.084888874
2023-02-09,22149677.853530854
2023-02-10,22110571.510436964
2023-02-11,22046585.874840925
2023-02-12,22001982.013740753
2023-02-13,21976799.727166654
2023-02-14,22030242.711815004
2023-02-15,22033682.913025471
2023-02-16,22037101.762699479
2023-02-17,22040475.441816638
2023-02-18,22043892.795653972
2023-02-19,22047317.32771451
2023-02-20,22050723.244093717
2023-02-21,22053949.670611638
2023-02-22,22056910.857160447
2023-02-23,22060355.880794693
2023-02-24,22057948.902284935
2023-02-25,22041757.169399187
2023-02-26,22034172.540071113
2023-02-27,22037578.546420737
2023-02-28,22040982.048961635
2023-03-01,22044274.8999506
2023-03-02,22043515.763240377
2023-03-03,22178055.182081884
2023-03-04,22181485.725297719
2023-03-05,22165178.57031199
2023-03-06,22157302.124019166
2023-03-07,22160722.172468086
2023-03-08,22164154.62882322
2023-03-09,22113684.304263876
2023-03-10,21982226.512348245
2023-03-11,21932135.820778484
2023-03-12,21860833.964283378
2023-03-13,21835534.614824216
2023-03-14,21838901.656078376
2023-03-15,21862772.285462923
2023-03-16,21816817.82207757
2023-03-17,21814770.171268823
2023-03-18,21818106.357059683
2023-03-19,21821444.643947855
2023-03-20,21824780.366151816
2023-03-21,21827367.153788935
2023-03-22,21792593.541487579
2023-03-23,21775016.423828168
2023-03-24,21758888.178812938
2023-03-25,21720737.051267635
2023-03-26,21723972.264001013
2023-03-27,21702495.411170986
2023-03-28,21576020.463913928
2023-03-29,21579322.27219135
2023-03-30,21582302.952794129
2023-03-31,21586280.078198812
2023-04-01,21589564.007452954
2023-04-02,21561118.034782071
2023-04-03,21486006.804522399
2023-04-04,21486590.876635965
2023-04-05,21488761.901242249
